price,os,new,model_cpu,core,frequency_ghz,socket,ram_gb,ram_type,ram_ghz,model_gpu,vram_gb,storage_gb,mother_board,power_supply,estimation,link,general_score
37999,без ос,yes,intel core i3-12100,4.0,4300.0,lga 1700,8.0,ddr4,0.0,intel uhd graphics 730,0.0,512.0,intel h610,400.0,Хорошая,https://www.dns-shop.ru/product/7b7437865f64d0a4/pk-dexp-atlas-h465/,16.8
322999,без ос,yes,intel core ultra 7 265k,20.0,5500.0,lga 1851,32.0,ddr5,5600.0,geforce rtx 4080 super,16.0,1024.0,intel z890,1000.0,Плохая,https://www.dns-shop.ru/product/a52c42537af0d9cb/pk-msi-mpg-infinite-x3-ai-2nug7-006xru-9s6-b94211-006/,37.0
81499,без ос,yes,intel core i7-12700,12.0,4900.0,lga 1700,32.0,ddr4,3200.0,intel uhd graphics 770,0.0,1024.0,intel b760,500.0,Хорошая,https://www.dns-shop.ru/product/e2803a31c360d9cb/pk-dexp-atlas-h566/,26.5
41999,windows 11 pro,yes,intel core i3-1220p,10.0,4400.0,bga 1744,16.0,ddr4,3200.0,intel uhd graphics,0.0,512.0,soc,90.0,Хорошая,https://www.dns-shop.ru/product/9c8c7380843fd582/mini-pk-chuwi-larkbox-s-1746751/,16.7
83999,windows 11 pro,yes,amd ryzen 7 8845hs,8.0,5100.0,fp8,32.0,ddr5,5600.0,amd radeon 780m,0.0,1024.0,soc,120.0,Нормальная,https://www.dns-shop.ru/product/67188314f27dd582/mini-pk-beelink-ser8-00082/,22.5
286999,без ос,yes,intel core ultra 7 265k,20.0,5500.0,lga 1851,32.0,ddr5,5600.0,geforce rtx 4070 ti super,16.0,2048.0,intel z890,850.0,Плохая,https://www.dns-shop.ru/product/a1d2eb7f7af1d9cb/pk-msi-mpg-infinite-x3-ai-2nuf7-008xru-9s6-b94211-008/,35.5
47499,без ос,yes,intel core i3-13100,4.0,4500.0,lga 1700,16.0,ddr4,3200.0,intel uhd graphics 730,0.0,500.0,intel h610,500.0,Хорошая,https://www.dns-shop.ru/product/118bda5144f4d9cb/pk-dexp-atlas-h543/,19.5
29799,без ос,yes,amd ryzen 3 3200g,4.0,4000.0,am4,16.0,ddr4,3200.0,amd radeon vega 8,0.0,256.0,amd a520,350.0,Хорошая,https://www.dns-shop.ru/product/288b5edcc44dd582/pk-dexp-aquilon-o361/,18.7
261999,без ос,yes,intel core i7-13700kf,16.0,5400.0,lga 1700,32.0,ddr4,0.0,geforce rtx 4070 ti,12.0,1024.0,intel z790,800.0,Нормальная,https://www.dns-shop.ru/product/a992675b5462d9cb/pk-iru-game-710z7gp-mt-2016218/,35.6
53299,без ос,yes,intel core i5-1235u,10.0,4400.0,bga 1744,16.0,ddr4,0.0,intel iris xe graphics,0.0,512.0,soc,120.0,Нормальная,https://www.dns-shop.ru/product/744354c7eca7ed20/mini-pk-msi-pro-dp10-12m-221ru-9s6-b0a622-221/,15.5
38999,без ос,yes,intel core i3-12100,4.0,4300.0,lga 1700,8.0,ddr4,0.0,intel uhd graphics 730,0.0,512.0,intel h610,300.0,Хорошая,https://www.dns-shop.ru/product/d33d9335988aed20/pk-dexp-atlas-h426/,16.8
29799,без ос,yes,intel pentium gold g6405,2.0,0.0,lga 1200,8.0,ddr4,2666.0,geforce gt 710,2.0,256.0,intel h470,400.0,Нормальная,https://www.dns-shop.ru/product/a582c9ac0b59d9cb/pk-dexp-atlas-h445/,12.3
38999,без ос,yes,intel core i3-12100,4.0,4300.0,lga 1700,8.0,ddr4,3200.0,intel uhd graphics 730,0.0,512.0,intel h610,350.0,Хорошая,https://www.dns-shop.ru/product/2812cf68c440d9cb/pk-dexp-aquilon-o359/,18.0
107999,без ос,yes,amd ryzen 5 8400f,6.0,4700.0,am5,16.0,ddr5,5600.0,geforce rtx 5060,8.0,1024.0,amd a620,500.0,Хорошая,https://www.dns-shop.ru/product/60e4992bd4c3d582/pk-ardor-gaming-neo-m249/,30.7
37299,без ос,yes,intel core i3-1315u,6.0,4500.0,bga 1744,8.0,ddr4,0.0,intel uhd graphics,0.0,512.0,soc,120.0,Плохая,https://www.dns-shop.ru/product/8446160c89aced20/mini-pk-msi-pro-dp-10-13m-069xru-9s6-b0a612-069/,14.5
31299,windows 11 pro,yes,intel core i3-1315u,6.0,4500.0,bga 1744,8.0,ddr4,0.0,intel uhd graphics,0.0,512.0,soc,60.0,Нормальная,https://www.dns-shop.ru/product/3822c6ea43d3d0a4/mini-pk-rombica-blackbird-i3-q131u85p-pcmi-0332/,13.5
45499,windows 11 pro,yes,intel core i5-12400,6.0,4400.0,lga 1700,16.0,ddr4,0.0,intel uhd graphics 730,0.0,512.0,intel h610,120.0,Хорошая,https://www.dns-shop.ru/product/2033018943d3d0a4/mini-pk-rombica-whitebird-i5-wx124165p-pcmi-0352/,16.8
37999,без ос,yes,intel core i3-12100,4.0,4300.0,lga 1700,8.0,ddr4,3200.0,intel uhd graphics 730,0.0,512.0,intel h610,350.0,Хорошая,https://www.dns-shop.ru/product/90b6d19044f1d9cb/pk-dexp-aquilon-o333/,18.0
28999,без ос,yes,intel n100,4.0,0.0,bga 1264,8.0,ddr4,0.0,intel uhd graphics,0.0,256.0,soc,65.0,Плохая,https://www.dns-shop.ru/product/8e772deaeca7ed20/mini-pk-msi-cubi-n-adl-037xru-9s6-b0a911-057/,8.5
47999,без ос,yes,intel core 3-100u,6.0,4700.0,bga 1744,8.0,ddr5,0.0,intel uhd graphics,0.0,512.0,soc,120.0,Плохая,https://www.dns-shop.ru/product/77ff73fe6039d582/mini-pk-msi-cubi-nuc-1m-045xru-9s6-b0b111-045/,13.7
25199,windows 11 pro,yes,intel celeron n5095,4.0,2900.0,bga 1090,8.0,ddr4,0.0,intel uhd graphics,0.0,0.0,unknown,60.0,Плохая,https://www.dns-shop.ru/product/9c24756ade14d582/mini-pk-azerty-az-0016-8-512-120-0700/,6.0
35999,без ос,yes,intel core i3-12100,4.0,4300.0,lga 1700,16.0,ddr4,3200.0,intel uhd graphics 730,0.0,512.0,intel h610,350.0,Хорошая,https://www.dns-shop.ru/product/e70bca22d497d582/pk-dexp-aquilon-o368/,19.5
31999,без ос,yes,intel pentium gold g7400,2.0,0.0,lga 1700,8.0,ddr4,3200.0,intel uhd graphics 710,0.0,512.0,intel h610,350.0,Хорошая,https://www.dns-shop.ru/product/ec76f5b1b479d582/pk-dexp-aquilon-o356/,15.0
114499,без ос,yes,amd ryzen 5 7500f,6.0,5000.0,am5,32.0,ddr5,6000.0,geforce rtx 5050,8.0,1024.0,amd a620,500.0,Нормальная,https://www.dns-shop.ru/product/1c6d3b49a348d9cb/pk-ardor-gaming-neo-m222/,25.4
148999,без ос,yes,intel core i5-13400f,10.0,4600.0,lga 1700,32.0,ddr5,6000.0,geforce rtx 4060,8.0,1524.0,intel b760,650.0,Нормальная,https://www.dns-shop.ru/product/09c277e809ded9cb/pk-ardor-gaming-rage-h390/,32.7
43999,windows 11 pro,yes,intel core i5-12450h,8.0,4400.0,bga 1744,24.0,lpddr5,5200.0,intel uhd graphics,0.0,500.0,soc,0.0,Плохая,https://www.dns-shop.ru/product/673df1a8faf0d582/mini-pk-beelink-eqi12-00131/,14.7
78299,без ос,yes,intel core i5-12400f,6.0,4400.0,lga 1700,16.0,ddr5,5600.0,geforce rtx 3050,6.0,512.0,intel h610,500.0,Хорошая,https://www.dns-shop.ru/product/dbc8ec8c7adfd21a/pk-msi-mag-infinite-s3-12bta-2285xru-9s6-b93851-2436/,25.3
93299,без ос,yes,intel core i5-12400f,6.0,4400.0,lga 1700,16.0,ddr5,5600.0,geforce rtx 3050,8.0,1024.0,intel b760,500.0,Хорошая,https://www.dns-shop.ru/product/f1293e884c17d582/pk-ardor-gaming-neo-m198/,27.0
80499,без ос,yes,amd ryzen 5 5600g,6.0,4400.0,am4,16.0,ddr4,3200.0,geforce rtx 3050,8.0,1024.0,amd b550,500.0,Хорошая,https://www.dns-shop.ru/product/7a4fa70740f1d582/pk-ardor-gaming-neo-m192/,25.9
24799,windows 11 pro,yes,intel n100,4.0,0.0,bga 1264,16.0,lpddr5,0.0,intel uhd graphics,0.0,512.0,soc,30.0,Нормальная,https://www.dns-shop.ru/product/ef6d2859e958492e/mini-pk-dexp-aquilon-aq02cy/,12.2
73499,без ос,yes,intel core i3-12100f,4.0,4300.0,lga 1700,16.0,ddr4,3200.0,geforce rtx 3050,8.0,500.0,intel h610,500.0,Нормальная,https://www.dns-shop.ru/product/18d192d0a593d582/pk-ardor-gaming-neo-m161/,24.2
277999,без ос,yes,amd ryzen 7 7800x3d,8.0,5000.0,am5,32.0,ddr5,6400.0,geforce rtx 5070 ti,16.0,2048.0,amd b850,1000.0,Плохая,https://www.dns-shop.ru/product/5ffd34af8959d9cb/pk-ardor-gaming-evo-x120/,36.2
150999,без ос,yes,intel core i5-14400f,10.0,4700.0,lga 1700,32.0,ddr5,0.0,geforce rtx 4070 super,12.0,1024.0,intel h610,500.0,Нормальная,https://www.dns-shop.ru/product/df2e2c737aded21a/pk-msi-mag-infinite-s3-14nue5-2283xru-9s6-b93851-2283/,31.3
40999,без ос,yes,amd ryzen 5 5600g,6.0,4400.0,am4,16.0,ddr4,3200.0,amd radeon vega 7,0.0,500.0,amd a520,500.0,Хорошая,https://www.dns-shop.ru/product/d9cde86ba98cd582/pk-dexp-aquilon-o352/,19.2
244999,без ос,yes,intel core i7-14700kf,20.0,5600.0,lga 1700,32.0,ddr5,6400.0,geforce rtx 4070 ti super,16.0,2048.0,intel z790,850.0,Нормальная,https://www.dns-shop.ru/product/be1373f6a58bd582/pk-ardor-gaming-evo-x083/,38.8
57299,без ос,yes,intel core i5-12400,6.0,4400.0,lga 1700,16.0,ddr4,0.0,intel uhd graphics 730,0.0,1024.0,intel h610,350.0,Нормальная,https://www.dns-shop.ru/product/ee19e75f50d6d582/pk-dexp-atlas-h544/,18.8
56999,windows 11 pro,yes,intel core i5-12400,6.0,4400.0,lga 1700,16.0,ddr4,3200.0,intel uhd graphics 730,0.0,500.0,intel h610,350.0,Нормальная,https://www.dns-shop.ru/product/826cc20fb303d582/pk-dexp-aquilon-o354/,18.0
41999,без ос,yes,intel core i5-12400,6.0,4400.0,lga 1700,8.0,ddr4,3200.0,intel uhd graphics 730,0.0,256.0,intel h610,350.0,Хорошая,https://www.dns-shop.ru/product/bd866fe8612bd582/pk-dexp-aquilon-o338/,16.5
65999,без ос,yes,amd ryzen 5 5600h,6.0,4200.0,fp6,16.0,ddr4,0.0,amd radeon graphics,0.0,512.0,soc,120.0,Нормальная,https://www.dns-shop.ru/product/53b772571ed9ed20/mini-pk-asus-expertcenter-pn52-s5155md-90ms02f1-m004v0/,15.0
45999,без ос,yes,amd ryzen 5 5600g,6.0,4400.0,am4,16.0,ddr4,3200.0,amd radeon vega 7,0.0,500.0,amd b550,500.0,Хорошая,https://www.dns-shop.ru/product/1e9e93eb56fed582/pk-dexp-atlas-h548/,19.2
63499,windows 11 pro,yes,intel core i9-13900hk,14.0,5400.0,bga 1744,16.0,ddr4,3200.0,intel iris xe graphics,0.0,512.0,soc,120.0,Хорошая,https://www.dns-shop.ru/product/cee7cc4e4cded582/mini-pk-chuwi-aubox-1746926/,21.2
123999,без ос,yes,amd ryzen 5 8400f,6.0,4700.0,am5,32.0,ddr5,6000.0,geforce rtx 5060,8.0,1024.0,amd b650,500.0,Нормальная,https://www.dns-shop.ru/product/759cb57dc45bd582/pk-ardor-gaming-neo-m239/,32.4
45499,без ос,yes,intel core i3-12100,4.0,4300.0,lga 1700,16.0,ddr4,3200.0,intel uhd graphics 730,0.0,512.0,intel h610,350.0,Хорошая,https://www.dns-shop.ru/product/663f939f7b02d582/pk-dexp-atlas-h480/,19.5
